is_host,goals_scored_last_4y,goals_received_last_4y,wins_last_4y,losses_last_4y,draws_last_4y,world_cup_titles_before,squad_total_market_value_eur,fifa_rank_pre_tournament,fifa_points_pre_tournament,squad_avg_age,world_cup_participations_before,groups_passed_before,round16_before,quarterfinals_before,semifinals_before,finals_before,continent_Africa,continent_Asia,continent_Europe,continent_North America,continent_Oceania,continent_South America
0,-2.4420386490331474,-0.30554775208216955,-2.71472666670063,0.04129515035002589,-2.265013795202929,-0.4033353763771789,-0.9876220116248137,3.441600972495044,-1.5598972799616924,0.514583366399053,-0.8783810412249253,-0.813142363705319,-0.8777285099378173,-0.6595597136922766,-0.5320939540808707,-0.421485841197821,0,0,0,0,1,0
0,1.129063239966385,1.4427815805636088,1.4990012463955653,1.395186151111594,0.9627747038034468,-0.4033353763771789,-0.2460329682937749,-0.23424509236877267,-0.7400246483681896,-0.9462885112429784,-0.69895207018699,-0.5975257577314649,-0.5098039564570336,-0.6595597136922766,-0.5320939540808707,-0.421485841197821,0,1,0,0,0,0
0,0.7848606482555868,-1.1417052589997156,0.4455692681215165,-0.8612988501576861,-1.0912725228369742,0.5041692204714737,1.898833124683408,-0.7243579010172815,0.4272516406801874,1.1865844301143853,1.454195582268234,1.1274070900593678,1.6977433644276683,0.7304215011137609,-0.15519406994025398,0.1392735823088452,0,0,1,0,0,0
0,0.09645546483399016,0.15053816078194654,-0.30688214493137556,-0.41000184990383015,2.1365159761694015,-0.4033353763771789,-0.7837355663390657,1.3586215357388811,-0.9206745502447241,-1.4235066579393774,-1.0578100122628606,-0.813142363705319,-0.8777285099378173,-0.6595597136922766,-0.5320939540808707,-0.421485841197821,1,0,0,0,0,0
0,0.7848606482555868,0.6066240736460626,-0.6078627101525323,0.2669436504769539,1.8430806580779129,-0.4033353763771789,0.060475617056621446,-0.3567732945308999,-0.7289077313296336,-0.9462885112429784,0.7364796981164927,0.6961738781116596,0.22604515050453378,0.4524252581525534,0.5986056983409794,0.1392735823088452,0,0,1,0,0,0
0,-1.4094308739007524,-1.0656909401890298,-1.0593335579842675,-0.6356503500307581,1.2562100218949355,-0.4033353763771789,-0.5694994021347131,1.2973574346578176,1.3900878253895201,-0.9462885112429784,0.19819278500268667,-0.5975257577314649,-0.5098039564570336,-0.38156347073106917,-0.5320939540808707,-0.421485841197821,1,0,0,0,0,0
0,2.0756203671710804,1.7468388558063528,2.4019429420590357,1.84648315136545,-0.5044018866539967,-0.4033353763771789,-0.6084240009831094,-0.2955091934498363,-0.21197108903678094,-1.5306372622997924,1.2747666112302987,0.4805572721378055,0.9618942574661011,-0.10356722776986163,-0.5320939540808707,-0.421485841197821,0,0,0,1,0,0
0,-0.11867115498525876,1.5187958993742947,-0.30688214493137556,0.7182406507308099,-0.21096656856250798,-0.4033353763771789,0.10036578734931922,-0.6018296988551544,1.874229562418633,0.1250175323611759,-0.160665157073184,-0.3819091517576108,-0.1418794029762499,-0.10356722776986163,0.22170581420036273,0.1392735823088452,0,0,1,0,0,0
0,-1.0222029582261043,-0.30554775208216955,-1.0593335579842675,0.2669436504769539,-0.21096656856250798,-0.4033353763771789,0.11424587686115052,0.8685087270903723,-0.567712434270572,-0.06976538465776091,-0.5195230991490547,-0.16629254578375674,0.22604515050453378,-0.38156347073106917,-0.5320939540808707,-0.421485841197821,0,0,1,0,0,0
0,-0.8501016623707052,-0.7616336649462856,-1.3603141232054243,-0.41000184990383015,0.6693393857119581,0.5041692204714737,-0.3795835686836995,-0.6018296988551544,-0.7705961702242186,-0.1087219680615476,0.7364796981164927,0.9117904840855138,0.22604515050453378,1.0084177440749684,0.22170581420036273,0.1392735823088452,0,0,1,0,0,0
